Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID
01/08/2023,RRRP,100669,AL100669,Salida de almacén,NC00,NCFA,NC,6,1932,1.4383157,1438315.7,389.287,,,,,1.035833333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,907009,AL907009,Salida de almacén,NC00,NCFA,NC,9,5299,3.201875736,3201875.736,849.509,,,,,0.978055556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100618,AL100618,Salida de almacén,NC00,NCFA,NC,8,2904,3.0291407,3029140.7,951.648,,,,,0.8225,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100742,AL100742,Salida de almacén,NC00,NCFB,NC,1,8,0.0567,56700,41.424,,,,,0.026666667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100587,AL100587,Salida de almacén,NC00,NCFB,NC,13,1596,0.837539996,837539.996,221.666,,,,,0.461666667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100732,AL100732,Salida de almacén,NC00,NCFB,NC,12,1790,0.82651008,826510.08,323.577,,,,,0.724722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100584,AL100584,Salida de almacén,NC00,NCFA,NC,4,828,1.06146756,1061467.56,131.3,,,,,0.452777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100634,AL100634,Salida de almacén,NC00,NCFA,NC,7,1254,2.56625395,2566253.95,742.735,,,,,1.058055556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100742,AL100742,Salida de almacén,NC00,NCFA,NC,5,720,0.64792115,647921.15,102.323,,,,,0.512777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100748,AL100748,Salida de almacén,NC00,NCFA,NC,4,778,1.46956788,1469567.88,182.88,,,,,0.367222222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,918325,AL918325,Salida de almacén,NC00,NCFB,NC,8,1224,0.662742607,662742.607,224.379,,,,,0.214722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100692,AL100692,Salida de almacén,NC00,NCFA,NC,2,228,0.279982404,279982.404,46.512,,,,,0.009444444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100577,AL100577,Salida de almacén,NC00,NCFA,NC,9,2831,2.05875634,2058756.34,804.024,,,,,0.86,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100717,AL100717,Salida de almacén,NC00,NCFA,NC,13,3109,2.570202264,2570202.264,489.771,,,,,1.359166667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100722,AL100722,Salida de almacén,NC00,NCFA,NC,10,4502,2.634998368,2634998.368,521.378,,,,,0.680277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,917970,AL917970,Salida de almacén,NC00,NCFB,NC,2,54,0.051525384,51525.384,13.385,,,,,0.106388889,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100628,AL100628,Salida de almacén,NC00,NCFA,NC,5,510,0.90212488,902124.88,268.5,,,,,0.484444444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,913543,AL913543,Salida de almacén,NC00,NCFA,NC,2,906,0.9859248,985924.8,393.355,,,,,0.169722222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100188,AL100188,Salida de almacén,NC00,NCFB,NC,1,105,0.3607032,360703.2,29.805,,,,,0.008611111,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100584,AL100584,Salida de almacén,NC00,NCFB,NC,7,2142,0.849364615,849364.615,288.826,,,,,0.442222222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,788760,AL788760,Salida de almacén,NC00,NCFB,NC,6,1080,0.35241652,352416.52,98.032,,,,,0.258333333,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,914744,AL914744,Salida de almacén,NC00,NCFA,NC,6,1169,2.07727696,2077276.96,321.417,,,,,0.544444444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100577,AL100577,Salida de almacén,NC00,NCFB,NC,12,1486,1.071188329,1071188.329,492.128,,,,,0.409166667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,918411,AL918411,Salida de almacén,NC00,NCFA,NC,14,2740,2.139753533,2139753.533,856.216,,,,,0.946666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100464,AL100464,Salida de almacén,NC00,NCFB,NC,9,2866,1.012960062,1012960.062,392.766,,,,,0.682777778,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NC00,NCFB,NC,12,1406,0.93946646,939466.46,265.877,,,,,0.786388889,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100604,AL100604,Salida de almacén,NC00,NCFA,NC,8,702,1.543351644,1543351.644,453.504,,,,,0.725,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100741,AL100741,Salida de almacén,NC00,NCFA,NC,12,1896,2.02498895,2024988.95,740.115,,,,,1.124444444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100535,AL100535,Salida de almacén,NC01,NCNB,FC,2,156,0.0441828,44182.8,6.996,,,,,0.014722222,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100632,AL100632,Salida de almacén,NC01,NCNA,FC,2,912,0.927468,927468,99.672,,,,,0.426388889,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100588,AL100588,Salida de almacén,NC01,NCNB,FC,13,3164,0.877675908,877675.908,155.372,,,,,0.706388889,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,910094,AL910094,Salida de almacén,NC01,NCNB,FC,1,120,0.0243,24300,1.56,,,,,0.057222222,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100546,AL100546,Salida de almacén,NC01,NCNB,FC,9,1800,0.58313336,583133.36,90.502,,,,,0.5,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100732,AL100732,Salida de almacén,NC01,NCNB,FC,11,1524,0.615292124,615292.124,198.54,,,,,0.638333333,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100667,AL100667,Salida de almacén,NC01,NCNB,FC,1,1152,0.454896,454896,70.272,,,,,0.148055556,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100605,AL100605,Salida de almacén,NC01,NCNA,FC,1,700,0.74529,745290,79.7,,,,,0.174166667,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100232,AL100232,Salida de almacén,NC01,NCNA,FC,11,4720,1.372859437,1372859.437,371.036,,,,,1.127777778,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100692,AL100692,Salida de almacén,NC01,NCNB,FC,1,70,0.012012,12012,3.5,,,,,0.004444444,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100741,AL100741,Salida de almacén,NC01,NCNB,FC,3,506,37.2095,37209500,16.49,,,,,0.138888889,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,918145,AL918145,Salida de almacén,NC01,NCNB,FC,2,540,0.098889,98889,13.02,,,,,0.440833333,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100727,AL100727,Salida de almacén,NC01,NCNA,FC,9,2858,0.91310398,913103.98,320.146,,,,,0.799444444,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,JCONTRERAS3,JCONTRERAS3,Salida de almacén,NC01,NCNB,FC,1,216,0.11631024,116310.24,31.488,,,,,0.001388889,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,913543,AL913543,Salida de almacén,NC01,NCNB,FC,26,1249,0.352588382,352588.382,82.444,,,,,0.694722222,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100690,AL100690,Salida de almacén,NC01,NCNA,FC,3,1350,0.81881562,818815.62,289.86,,,,,0.351111111,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100634,AL100634,Salida de almacén,NC01,NCNA,FC,1,100,0.011953469,11953.469,6,,,,,0.235,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100492,AL100492,Salida de almacén,NC01,NCNB,FC,1,600,0.19666023,196660.23,34.8,,,,,0.1325,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,JCONTRERAS3,JCONTRERAS3,Salida de almacén,NC01,NCNA,FC,5,2346,0.429899712,429899.712,67.09,,,,,0.023055556,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100577,AL100577,Salida de almacén,NC01,NCNA,FC,2,280,0.034009,34009,5.855,,,,,0.2225,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC01,NCNA,FC,3,1118,0.65888262,658882.62,118.524,,,,,0.343055556,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,917356,AL917356,Salida de almacén,NC01,NCNA,FC,8,1479,0.970140592,970140.592,113.759,,,,,0.41,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100740,AL100740,Salida de almacén,NC01,NCNB,FC,10,438,0.070805629,70805.629,10.792,,,,,0.368888889,RRRPSalida de almacénNC01FCNCNB
01/08/2023,RRRP,100406,AL100406,Salida de almacén,NC01,NCNA,FC,11,520,0.10685912,106859.12,27.732,,,,,0.648055556,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100604,AL100604,Salida de almacén,NC01,NCNA,FC,7,1367,0.399803431,399803.431,152.055,,,,,0.360277778,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,100519,AL100519,Salida de almacén,NC01,NCNA,FC,1,232,0.246,246000,58.634,,,,,0.073333333,RRRPSalida de almacénNC01FCNCNA
01/08/2023,RRRP,918325,AL918325,Salida de almacén,NC01,NCNB,FC,1,40,0.02090172,20901.72,5.6,,,,,0.061388889,RRRPSalida de almacénNC01FCNCNB
