Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion,Ponderacion Valor,Evaluacion de desempeño
10/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,6100,,,,,,,,7,3PL3PL Surtido SanferUnica,0,871.4285714,0,0,0,0,0,,0,287.2841444,0,0,0,0,0,287.2841444,287.2841444,300,Productivo
11/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,4394,,,,,,,,5,3PL3PL Surtido SanferUnica,0,878.8,0,0,0,0,0,,0,289.7142857,0,0,0,0,0,289.7142857,289.7142857,300,Productivo
12/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,5925,,,,,,,,6.5,3PL3PL Surtido SanferUnica,0,911.5384615,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
14/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,6790,,,,,,,,7,3PL3PL Surtido SanferUnica,0,970,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
15/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,5082,,,,,,,,6,3PL3PL Surtido SanferUnica,0,847,0,0,0,0,0,,0,279.2307692,0,0,0,0,0,279.2307692,279.2307692,300,Productivo
16/08/2023,3PL,100017,,3PL Maquila,,Peceras ,,,490,,,,,,,,7,3PL3PL MaquilaPeceras ,0,70,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#N/D,Improductivo
17/08/2023,3PL,100017,,3PL Sanfer Embarque,,Unica,,,,,,,,217,6,,7,3PL3PL Sanfer EmbarqueUnica,0,0,0,0,31,0.857142857,0,,0,0,0,0,178.8461538,128.5714286,0,307.4175824,307.4175824,150,Productivo
18/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,3828,,,,,,,,4,3PL3PL Surtido SanferUnica,0,957,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
21/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,18465,,,,,,,,7.5,3PL3PL Surtido SanferUnica,0,2462,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
02/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,5760,,,,,,,,6,3PL3PL Surtido SanferUnica,0,960,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
03/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,4465,,,,,,,,5.5,3PL3PL Surtido SanferUnica,0,811.8181818,0,0,0,0,0,,0,267.6323676,0,0,0,0,0,267.6323676,267.6323676,300,Productivo
04/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,6076,,,,,,,,6.5,3PL3PL Surtido SanferUnica,0,934.7692308,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
05/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,4392,,,,,,,,5,3PL3PL Surtido SanferUnica,0,878.4,0,0,0,0,0,,0,289.5824176,0,0,0,0,0,289.5824176,289.5824176,300,Productivo
07/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,5824,,,,,,,,6.5,3PL3PL Surtido SanferUnica,0,896,0,0,0,0,0,,0,295.3846154,0,0,0,0,0,295.3846154,295.3846154,300,Productivo
08/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,5932,,,,,,,,7,3PL3PL Surtido SanferUnica,0,847.4285714,0,0,0,0,0,,0,279.3720565,0,0,0,0,0,279.3720565,279.3720565,300,Productivo
09/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,6793,,,,,,,,7,3PL3PL Surtido SanferUnica,0,970.4285714,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
10/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,5750,,,,,,,,6.5,3PL3PL Surtido SanferUnica,0,884.6153846,0,0,0,0,0,,0,291.6314455,0,0,0,0,0,291.6314455,291.6314455,300,Productivo
11/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,4194,,,,,,,,5,3PL3PL Surtido SanferUnica,0,838.8,0,0,0,0,0,,0,276.5274725,0,0,0,0,0,276.5274725,276.5274725,300,Productivo
15/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,5043,,,,,,,,6,3PL3PL Surtido SanferUnica,0,840.5,0,0,0,0,0,,0,277.0879121,0,0,0,0,0,277.0879121,277.0879121,300,Productivo
16/08/2023,3PL,100024,,3PL Maquila,,Peceras ,,,490,,,,,,,,7,3PL3PL MaquilaPeceras ,0,70,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#N/D,Improductivo
17/08/2023,3PL,100024,,3PL Maquila,,Peceras ,,,490,,,,,,,,7,3PL3PL MaquilaPeceras ,0,70,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#N/D,Improductivo
18/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,3828,,,,,,,,4,3PL3PL Surtido SanferUnica,0,957,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
19/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,8200,,,,,,,,7.5,3PL3PL Surtido SanferUnica,0,1093.333333,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
21/08/2023,3PL,100024,,3PL Surtido Sanfer,,Unica,,,18465,,,,,,,,7.5,3PL3PL Surtido SanferUnica,0,2462,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NC00,NCFA,NC,3,480,1.06497392,1064973.92,2078.144,,,,,0.349722222,RRRPSalida de almacénNC00NCNCFA,8.578236696,1372.517871,3.045199454,0,0,0,0,5942.270373,77.1020084,63.73142669,210.8874677,0,0,0,0,351.7209028,74.97741561,100,Productivo
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NC00,NCFB,NC,12,1406,0.93946646,939466.46,265.877,,,,,0.786388889,RRRPSalida de almacénNC00NCNCFB,15.25962557,1787.919463,1.194658868,0,0,0,0,338.0986224,71.42925334,100.1279649,114.15674,0,0,0,0,285.7139583,136.9549976,100,Productivo
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NCL0,NCL0,BR,3,2252,10.65992162,10659921.62,1970.796,,,,,0.332222222,RRRPSalida de almacénNCL0BRNCL0,9.030100334,6778.595318,32.08672061,0,0,0,0,5932.161873,193.4174521,300,663.1136009,0,0,0,0,360,72.90213342,100,Productivo
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NPB0,NPB0,BB,2,10,0.11827557,118275.57,31.26,,,,,0.172222222,RRRPSalida de almacénNPB0BBNPB0,11.61290323,58.06451613,0.686761374,0,0,0,0,181.5096774,162.9032258,49.23195084,23.28852643,0,0,0,0,235.4237031,24.71430679,100,Improductivo
